ITIN_ID,YEAR,QUARTER,ORIGIN,ORIGIN_STATE_NM,DEST,DEST_STATE_NM,PASSENGERS
2021118,2021,1,CAE,South Carolina,FLL,Florida,1.00
2021119,2021,1,CAE,South Carolina,FLL,Florida,2.00
2021120,2021,1,CAE,South Carolina,FLL,Florida,6.00
2021121,2021,1,CAE,South Carolina,FLL,Florida,3.00
2021122,2021,1,CAE,South Carolina,FLL,Florida,1.00
2021123,2021,1,CAE,South Carolina,FLL,Florida,3.00
2021124,2021,1,CAE,South Carolina,FLL,Florida,1.00
2021125,2021,1,CAE,South Carolina,FLL,Florida,5.00
2021126,2021,1,CAE,South Carolina,FLL,Florida,2.00
2021126,2021,1,FLL,Florida,CAE,South Carolina,2.00
2021127,2021,1,CAE,South Carolina,FLL,Florida,1.00
2021127,2021,1,FLL,Florida,CAE,South Carolina,1.00
2021128,2021,1,CAE,South Carolina,FLL,Florida,1.00
2021128,2021,1,FLL,Florida,CAE,South Carolina,1.00
2021129,2021,1,CAE,South Carolina,FLL,Florida,1.00
2021129,2021,1,FLL,Florida,CAE,South Carolina,1.00
2021130,2021,1,CAE,South Carolina,FLL,Florida,1.00
2021130,2021,1,FLL,Florida,CAE,South Carolina,1.00
2021131,2021,1,CAE,South Carolina,FLL,Florida,1.00
2021131,2021,1,FLL,Florida,CAE,South Carolina,1.00
2021132,2021,1,CAE,South Carolina,FLL,Florida,2.00
2021132,2021,1,FLL,Florida,CAE,South Carolina,2.00
2021133,2021,1,CAE,South Carolina,FLL,Florida,1.00
2021133,2021,1,FLL,Florida,CAE,South Carolina,1.00
2021134,2021,1,CAE,South Carolina,FLL,Florida,2.00
2021134,2021,1,FLL,Florida,CAE,South Carolina,2.00
2021135,2021,1,CAE,South Carolina,FLL,Florida,1.00
2021135,2021,1,FLL,Florida,CAE,South Carolina,1.00
2021136,2021,1,CAE,South Carolina,MCO,Florida,2.00
2021137,2021,1,CAE,South Carolina,MCO,Florida,4.00
2021138,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021139,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021140,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021141,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021142,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021143,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021144,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021144,2021,1,MCO,Florida,CAE,South Carolina,1.00
2021145,2021,1,CAE,South Carolina,MCO,Florida,4.00
2021145,2021,1,MCO,Florida,CAE,South Carolina,4.00
2021146,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021146,2021,1,MCO,Florida,CAE,South Carolina,1.00
2021147,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021147,2021,1,MCO,Florida,CAE,South Carolina,1.00
2021148,2021,1,CAE,South Carolina,MCO,Florida,3.00
2021148,2021,1,MCO,Florida,CAE,South Carolina,3.00
2021149,2021,1,CAE,South Carolina,MCO,Florida,3.00
2021149,2021,1,MCO,Florida,CAE,South Carolina,3.00
2021150,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021150,2021,1,MCO,Florida,CAE,South Carolina,1.00
2021151,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021151,2021,1,MCO,Florida,CAE,South Carolina,1.00
2021152,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021152,2021,1,MCO,Florida,CAE,South Carolina,1.00
2021153,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021153,2021,1,MCO,Florida,CAE,South Carolina,1.00
2021154,2021,1,CAE,South Carolina,MCO,Florida,1.00
2021154,2021,1,MCO,Florida,CAE,South Carolina,1.00
2021155,2021,1,CAE,South Carolina,LAX,California,1.00
2021156,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021157,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021158,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021159,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021160,2021,1,CAE,South Carolina,TPA,Florida,2.00
2021161,2021,1,CAE,South Carolina,TPA,Florida,4.00
2021162,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021163,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021164,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021165,2021,1,CAE,South Carolina,TPA,Florida,2.00
2021165,2021,1,TPA,Florida,CAE,South Carolina,2.00
2021166,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021166,2021,1,TPA,Florida,CAE,South Carolina,1.00
2021167,2021,1,CAE,South Carolina,TPA,Florida,2.00
2021167,2021,1,TPA,Florida,CAE,South Carolina,2.00
2021168,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021168,2021,1,TPA,Florida,CAE,South Carolina,1.00
2021169,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021169,2021,1,TPA,Florida,CAE,South Carolina,1.00
2021170,2021,1,CAE,South Carolina,TPA,Florida,1.00
2021170,2021,1,TPA,Florida,CAE,South Carolina,1.00
2021171,2021,1,CAE,South Carolina,IAH,Texas,1.00
2021172,2021,1,CAE,South Carolina,SEA,Washington,1.00
2021173,2021,1,CHS,South Carolina,FLL,Florida,4.00
2021174,2021,1,CHS,South Carolina,FLL,Florida,2.00
2021175,2021,1,CHS,South Carolina,FLL,Florida,3.00
2021176,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021177,2021,1,CHS,South Carolina,FLL,Florida,2.00
2021178,2021,1,CHS,South Carolina,FLL,Florida,11.00
2021179,2021,1,CHS,South Carolina,FLL,Florida,2.00
2021180,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021181,2021,1,CHS,South Carolina,FLL,Florida,3.00
2021182,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021183,2021,1,CHS,South Carolina,FLL,Florida,2.00
2021184,2021,1,CHS,South Carolina,FLL,Florida,2.00
2021185,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021186,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021187,2021,1,CHS,South Carolina,FLL,Florida,9.00
2021188,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021189,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021190,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021191,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021192,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021193,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021194,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021194,2021,1,FLL,Florida,CHS,South Carolina,1.00
2021195,2021,1,CHS,South Carolina,FLL,Florida,3.00
2021195,2021,1,FLL,Florida,CHS,South Carolina,3.00
2021196,2021,1,CHS,South Carolina,FLL,Florida,3.00
2021196,2021,1,FLL,Florida,CHS,South Carolina,3.00
2021197,2021,1,CHS,South Carolina,FLL,Florida,4.00
2021197,2021,1,FLL,Florida,CHS,South Carolina,4.00
2021198,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021198,2021,1,FLL,Florida,CHS,South Carolina,1.00
2021199,2021,1,CHS,South Carolina,FLL,Florida,1.00
2021199,2021,1,FLL,Florida,CHS,South Carolina,1.00
20211100,2021,1,CHS,South Carolina,FLL,Florida,1.00
20211100,2021,1,FLL,Florida,CHS,South Carolina,1.00
20211101,2021,1,CHS,South Carolina,FLL,Florida,3.00
20211101,2021,1,FLL,Florida,CHS,South Carolina,3.00
20211102,2021,1,CHS,South Carolina,FLL,Florida,1.00
20211102,2021,1,FLL,Florida,CHS,South Carolina,1.00
20211103,2021,1,CHS,South Carolina,FLL,Florida,1.00
20211103,2021,1,FLL,Florida,CHS,South Carolina,1.00
20211104,2021,1,CHS,South Carolina,FLL,Florida,1.00
20211104,2021,1,FLL,Florida,CHS,South Carolina,1.00
20211105,2021,1,CHS,South Carolina,FLL,Florida,1.00
20211105,2021,1,FLL,Florida,CHS,South Carolina,1.00
20211106,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211107,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211108,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211109,2021,1,CHS,South Carolina,MCO,Florida,3.00
20211110,2021,1,CHS,South Carolina,MCO,Florida,4.00
20211111,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211112,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211113,2021,1,CHS,South Carolina,MCO,Florida,6.00
20211114,2021,1,CHS,South Carolina,MCO,Florida,3.00
20211115,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211116,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211117,2021,1,CHS,South Carolina,MCO,Florida,6.00
20211118,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211119,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211120,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211121,2021,1,CHS,South Carolina,BDL,Connecticut,1.00
20211122,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211122,2021,1,MCO,Florida,CHS,South Carolina,1.00
20211123,2021,1,CHS,South Carolina,MCO,Florida,2.00
20211123,2021,1,MCO,Florida,CHS,South Carolina,2.00
20211124,2021,1,CHS,South Carolina,MCO,Florida,2.00
20211124,2021,1,MCO,Florida,CHS,South Carolina,2.00
20211125,2021,1,CHS,South Carolina,MCO,Florida,2.00
20211125,2021,1,MCO,Florida,CHS,South Carolina,2.00
20211126,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211126,2021,1,MCO,Florida,CHS,South Carolina,1.00
20211127,2021,1,CHS,South Carolina,MCO,Florida,3.00
20211127,2021,1,MCO,Florida,CHS,South Carolina,3.00
20211128,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211128,2021,1,MCO,Florida,CHS,South Carolina,1.00
20211129,2021,1,CHS,South Carolina,MCO,Florida,2.00
20211129,2021,1,MCO,Florida,CHS,South Carolina,2.00
20211130,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211130,2021,1,MCO,Florida,CHS,South Carolina,1.00
20211131,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211131,2021,1,MCO,Florida,CHS,South Carolina,1.00
20211132,2021,1,CHS,South Carolina,MCO,Florida,1.00
20211132,2021,1,MCO,Florida,CHS,South Carolina,1.00
20211133,2021,1,CHS,South Carolina,EYW,Florida,1.00
20211134,2021,1,CHS,South Carolina,EYW,Florida,1.00
20211135,2021,1,CHS,South Carolina,EYW,Florida,1.00
20211135,2021,1,EYW,Florida,MCO,Florida,1.00
20211136,2021,1,CHS,South Carolina,EYW,Florida,1.00
20211136,2021,1,EYW,Florida,CHS,South Carolina,1.00
20211137,2021,1,CHS,South Carolina,SJU,Puerto Rico,1.00
20211138,2021,1,CHS,South Carolina,TPA,Florida,1.00
20211139,2021,1,CHS,South Carolina,TPA,Florida,3.00
20211140,2021,1,CHS,South Carolina,TPA,Florida,3.00
20211141,2021,1,CHS,South Carolina,TPA,Florida,2.00
20211142,2021,1,CHS,South Carolina,TPA,Florida,9.00
20211143,2021,1,CHS,South Carolina,TPA,Florida,2.00
20211144,2021,1,CHS,South Carolina,TPA,Florida,2.00
20211145,2021,1,CHS,South Carolina,TPA,Florida,4.00
20211146,2021,1,CHS,South Carolina,TPA,Florida,3.00
20211147,2021,1,CHS,South Carolina,TPA,Florida,1.00
20211148,2021,1,CHS,South Carolina,TPA,Florida,2.00
20211149,2021,1,CHS,South Carolina,TPA,Florida,2.00
20211150,2021,1,CHS,South Carolina,TPA,Florida,2.00
20211151,2021,1,CHS,South Carolina,TPA,Florida,1.00
20211152,2021,1,CHS,South Carolina,TPA,Florida,5.00
20211152,2021,1,TPA,Florida,CHS,South Carolina,5.00
20211153,2021,1,CHS,South Carolina,TPA,Florida,2.00
20211153,2021,1,TPA,Florida,CHS,South Carolina,2.00
20211154,2021,1,CHS,South Carolina,TPA,Florida,1.00
20211154,2021,1,TPA,Florida,CHS,South Carolina,1.00
20211155,2021,1,CHS,South Carolina,TPA,Florida,3.00
20211155,2021,1,TPA,Florida,CHS,South Carolina,3.00
20211156,2021,1,CHS,South Carolina,TPA,Florida,1.00
20211156,2021,1,TPA,Florida,CHS,South Carolina,1.00
20211157,2021,1,CHS,South Carolina,TPA,Florida,1.00
20211157,2021,1,TPA,Florida,CHS,South Carolina,1.00
